Lugar;Espacialidade;"COD IBGE";"IDHM Renda (2010)";"IDHM Longevidade (2010)";"IDHM Educação (2010)";"Taxa de analfabetismo - 11 a 14 anos (2010)";"Taxa de analfabetismo - 15 a 17 anos (2010)";"Taxa de analfabetismo - 18 a 24 anos (2010)";"Taxa de analfabetismo - 25 a 29 anos (2010)";"Taxa de analfabetismo - 25 anos ou mais (2010)";"Taxa de analfabetismo - 15 anos ou mais (2010)";"Taxa de analfabetismo - 18 anos ou mais (2010)";"Renda per capita (2010)"
Brasil;País;--;0,739;0,816;0,637;3,24;2,20;2,61;3,96;11,82;9,61;10,19;793,87
"Aeroviários / Esplanada Anicuns / São José / Av. Padre Wendel (Goiânia , RM Goiânia)";UDH;--;0,766;0,878;0,736;0,74;0,25;0,28;0,42;3,10;2,44;2,56;942,98
"Água Branca / Riviera / Sonho Verde / Califórnia (Goiânia , RM Goiânia)";UDH;--;0,786;0,908;0,775;0,78;0,64;0,60;0,59;3,46;2,81;2,95;1063,54
"Aldeia do Vale / Monte Verde (Goiânia , RM Goiânia)";UDH;--;1,000;0,940;0,920;0,00;0,00;0,88;0,00;0,33;0,38;0,40;6361,16
"Alphaville Flamboyant / Jardins Munique / Portal do Sol (Goiânia , RM Goiânia)";UDH;--;1,000;0,940;0,920;0,27;0,70;0,32;0,26;0,45;0,44;0,43;6361,16
"Alto da Glória (Goiânia , RM Goiânia)";UDH;--;0,987;0,913;0,913;0,00;0,00;0,13;0,16;0,45;0,37;0,38;3714,74
"Aruanã I, II e III / Jardim Brasil / Califórnia Industrial (Goiânia , RM Goiânia)";UDH;--;0,799;0,893;0,786;0,24;0,85;0,74;0,56;2,50;2,13;2,20;1157,18
"Balneário Meia Ponte / Licardino Ney (Goiânia , RM Goiânia)";UDH;--;0,725;0,820;0,661;1,32;0,92;0,49;0,42;3,48;2,82;2,95;730,12
"Balneário Meia Ponte / Rua Benetido Pestana (Goiânia , RM Goiânia)";UDH;--;0,966;0,929;0,908;0,00;0,00;0,69;0,00;4,43;3,42;3,62;3265,89
"Bela Vista ( Av. T-63 ) / Bueno ( Rua S-1 ) (Goiânia , RM Goiânia)";UDH;--;0,962;0,917;0,933;0,37;0,00;0,24;0,35;0,43;0,37;0,39;3187,20
"Bela Vista : Estádio Serrinha / Pedro Ludovico : Parque Areião / Terminal Izidória (Goiânia , RM Goiânia)";UDH;--;0,962;0,917;0,933;0,23;0,67;0,45;0,20;0,74;0,69;0,69;3187,20
"Bela Vista / Legionárias (Goiânia , RM Goiânia)";UDH;--;0,733;0,821;0,726;0,00;0,00;0,80;0,34;7,19;5,61;5,93;766,42
"Bom Retiro / Parque Cisnes / Cisnes Norte / João Leite (Goiânia , RM Goiânia)";UDH;--;0,833;0,905;0,847;1,79;0,00;1,02;3,85;9,58;7,82;8,33;1425,06
"Bueno : Av. T-63 / Parque Vaca Brava (Goiânia , RM Goiânia)";UDH;--;1,000;0,940;0,920;0,46;0,38;0,09;0,15;0,50;0,42;0,42;6361,16
"Bueno : Av. T-8 (Goiânia , RM Goiânia)";UDH;--;0,987;0,913;0,913;0,52;0,00;0,10;0,13;0,55;0,45;0,48;3714,74
"Bueno : Av. T-9 (Goiânia , RM Goiânia)";UDH;--;0,959;0,934;0,897;1,33;0,00;0,17;0,29;0,68;0,54;0,59;3126,87
"Bueno : Faculdade Objetivo / Oeste / Av. Perimetral (Goiânia , RM Goiânia)";UDH;--;0,962;0,917;0,933;1,09;0,00;0,00;0,30;0,68;0,54;0,56;3187,20
"Bueno : Pça. C / Pça. T-16 / Americano do Brasil (Goiânia , RM Goiânia)";UDH;--;0,877;0,912;0,858;0,69;1,48;0,58;0,00;3,25;2,72;2,78;1873,15
"Caiçara / Mansões Bernardo Sayão / Ipê (Goiânia , RM Goiânia)";UDH;--;0,799;0,893;0,786;0,00;0,00;0,00;0,80;1,91;1,51;1,59;1157,18
"Campinas / Abajá / Centro Oeste / Rua Sergipe (Goiânia , RM Goiânia)";UDH;--;0,773;0,879;0,739;1,52;0,33;0,38;0,40;3,34;2,66;2,79;981,65
"Campos Dourados (Goiânia , RM Goiânia)";UDH;--;0,766;0,869;0,671;1,05;1,82;0,00;0,00;1,53;1,30;1,27;937,95
"Campus II  Samambaia UFG / Califórnia / Chácaras Retiro / Vila Romana / Recanto do Sol (Goiânia , RM Goiânia)";UDH;--;0,833;0,905;0,847;0,58;0,70;0,41;0,90;2,18;1,79;1,85;1425,06
"Canaã / Nova Canaã / Cidade Jardim / Av. Aderup (Goiânia , RM Goiânia)";UDH;--;0,759;0,871;0,762;0,48;0,53;0,18;0,57;2,70;2,14;2,24;899,62
"Capuava / João Vaz (Goiânia , RM Goiânia)";UDH;--;0,725;0,820;0,661;1,18;0,75;0,64;1,13;5,37;4,24;4,48;730,12
"Capuava Residencial Privê / Transbrasiliana (Goiânia , RM Goiânia)";UDH;--;0,966;0,929;0,908;0,00;0,00;0,00;0,00;0,67;0,52;0,55;3265,89
"Centro / Av. Paranaíba / Av. Independência (Goiânia , RM Goiânia)";UDH;--;0,878;0,908;0,879;0,60;0,30;0,20;0,20;1,27;1,02;1,05;1882,32
"Centro : Praça Cívica / Rua 10 / Setor Sul : Cepal / Rua 115 / Praça Cruzeiro / Setor Marista : Praça Latife Sebba / Av. 85 (Goiânia , RM Goiânia)";UDH;--;0,959;0,934;0,897;0,67;0,19;0,30;0,38;0,67;0,58;0,60;3126,87
"Chácaras Retiro / Setor Morais (Goiânia , RM Goiânia)";UDH;--;0,735;0,851;0,733;0,63;0,76;0,78;2,21;5,94;4,69;4,95;775,34
"Chácaras São Joaquim (Goiânia , RM Goiânia)";UDH;--;0,720;0,846;0,705;2,16;0,66;0,83;2,45;6,03;4,77;5,08;706,58
"Coimbra / Pça. A / Campinas / Av. Anhanguera (Goiânia , RM Goiânia)";UDH;--;0,812;0,895;0,772;1,45;0,00;0,42;0,53;2,19;1,76;1,86;1254,56
"Coimbra / Pça. Walter Santos / Pça. Ciro Lisita (Goiânia , RM Goiânia)";UDH;--;0,877;0,912;0,858;1,10;0,00;0,45;0,32;1,22;1,05;1,10;1873,15
"Conjunto Luciana / Parque Oeste Industrial / Sul da BR 060 (Goiânia , RM Goiânia)";UDH;--;0,790;0,888;0,747;0,46;0,00;0,59;0,68;2,97;2,37;2,52;1090,86
"Criméia Leste / Meia Ponte / Urias Magalhães / ETE / Crer (Goiânia , RM Goiânia)";UDH;--;0,734;0,848;0,705;1,31;1,39;0,38;1,11;4,70;3,70;3,86;771,88
"Criméia Oeste / Centro Oeste / Jardim das Palmeiras / S Luiz (Goiânia , RM Goiânia)";UDH;--;0,801;0,909;0,760;1,87;0,52;0,58;0,81;3,38;2,76;2,90;1165,79
"Dourados (Goiânia , RM Goiânia)";UDH;--;0,623;0,740;0,540;4,62;1,87;1,62;2,03;9,46;7,34;7,95;387,06
"Eldorado / Village Veneza / Celina Park / Sul Av. Milão (Goiânia , RM Goiânia)";UDH;--;0,966;0,929;0,908;0,48;0,32;0,24;0,09;0,79;0,69;0,71;3265,89
"Faiçalville / Sesc / Jardim Atlântico / Oeste Parque Cascavel (Goiânia , RM Goiânia)";UDH;--;0,877;0,912;0,858;1,02;0,00;0,59;0,36;1,22;1,05;1,12;1873,15
"Flamingo / Presidente ( Extensão II E III ) (Goiânia , RM Goiânia)";UDH;--;0,833;0,905;0,847;0,00;2,94;0,00;0,00;1,40;1,26;1,19;1425,06
"Goiânia Golfe Clube / Vale das Brisas / Veneza D’Itália (Goiânia , RM Goiânia)";UDH;--;0,674;0,769;0,638;0,95;0,74;0,31;1,26;7,51;5,72;6,13;531,30
"Goiânia II / Av. Presidente Kennedy / Ribeirão João Leite (Goiânia , RM Goiânia)";UDH;--;0,877;0,912;0,858;0,78;0,33;0,26;0,39;0,66;0,57;0,59;1873,15
"Granville (Goiânia , RM Goiânia)";UDH;--;0,987;0,913;0,913;0,00;0,00;0,00;0,00;0,08;0,06;0,06;3714,74
"Guanabara / Felicidade / Vila Militar (Goiânia , RM Goiânia)";UDH;--;0,735;0,851;0,733;1,93;1,09;1,07;1,40;5,67;4,47;4,74;775,34
"Itamaracá / Clemente / Progresso / Perim / Ribeirão Anicuns (Goiânia , RM Goiânia)";UDH;--;0,709;0,822;0,706;0,99;0,65;0,93;0,35;6,46;5,11;5,45;660,20
"Itatiaia / Morada do Bosque / Shangri-lá (Goiânia , RM Goiânia)";UDH;--;0,759;0,871;0,762;1,46;1,61;0,36;0,57;2,99;2,46;2,52;899,62
"Jaó (Goiânia , RM Goiânia)";UDH;--;0,966;0,929;0,908;0,81;0,00;0,24;0,17;0,94;0,79;0,84;3265,89
"Jardim América / Cepal (Goiânia , RM Goiânia)";UDH;--;0,835;0,904;0,796;0,37;0,88;0,61;0,38;2,19;1,84;1,90;1447,36
