0,t-5,t-4,t-3,t-2,t-1,t+1
2013-01-01,,,,,,1141
2013-02-01,,,,,1141.0,1122
2013-03-01,,,,1141.0,1122.0,1212
2013-04-01,,,1141.0,1122.0,1212.0,1265
2013-05-01,,1141.0,1122.0,1212.0,1265.0,1376
2013-06-01,1141.0,1122.0,1212.0,1265.0,1376.0,1436
2013-07-01,1122.0,1212.0,1265.0,1376.0,1436.0,1116
2013-08-01,1212.0,1265.0,1376.0,1436.0,1116.0,1150
2013-09-01,1265.0,1376.0,1436.0,1116.0,1150.0,1148
2013-10-01,1376.0,1436.0,1116.0,1150.0,1148.0,1062
2013-11-01,1436.0,1116.0,1150.0,1148.0,1062.0,1108
2013-12-01,1116.0,1150.0,1148.0,1062.0,1108.0,1248
2014-01-01,1150.0,1148.0,1062.0,1108.0,1248.0,1474
2014-02-01,1148.0,1062.0,1108.0,1248.0,1474.0,1335
2014-03-01,1062.0,1108.0,1248.0,1474.0,1335.0,1432
2014-04-01,1108.0,1248.0,1474.0,1335.0,1432.0,1606
2014-05-01,1248.0,1474.0,1335.0,1432.0,1606.0,1669
2014-06-01,1474.0,1335.0,1432.0,1606.0,1669.0,1395
2014-07-01,1335.0,1432.0,1606.0,1669.0,1395.0,1362
2014-08-01,1432.0,1606.0,1669.0,1395.0,1362.0,1347
2014-09-01,1606.0,1669.0,1395.0,1362.0,1347.0,1412
2014-10-01,1669.0,1395.0,1362.0,1347.0,1412.0,1424
2014-11-01,1395.0,1362.0,1347.0,1412.0,1424.0,1242
2014-12-01,1362.0,1347.0,1412.0,1424.0,1242.0,1250
2015-01-01,1347.0,1412.0,1424.0,1242.0,1250.0,1332
2015-02-01,1412.0,1424.0,1242.0,1250.0,1332.0,1336
2015-03-01,1424.0,1242.0,1250.0,1332.0,1336.0,1587
2015-04-01,1242.0,1250.0,1332.0,1336.0,1587.0,1640
2015-05-01,1250.0,1332.0,1336.0,1587.0,1640.0,1902
2015-06-01,1332.0,1336.0,1587.0,1640.0,1902.0,1766
2015-07-01,1336.0,1587.0,1640.0,1902.0,1766.0,1796
2015-08-01,1587.0,1640.0,1902.0,1766.0,1796.0,1850
2015-09-01,1640.0,1902.0,1766.0,1796.0,1850.0,1985
2015-10-01,1902.0,1766.0,1796.0,1850.0,1985.0,2052
2015-11-01,1766.0,1796.0,1850.0,1985.0,2052.0,1826
2015-12-01,1796.0,1850.0,1985.0,2052.0,1826.0,1945
2016-01-01,1850.0,1985.0,2052.0,1826.0,1945.0,2013
2016-02-01,1985.0,2052.0,1826.0,1945.0,2013.0,2023
2016-03-01,2052.0,1826.0,1945.0,2013.0,2023.0,1989
2016-04-01,1826.0,1945.0,2013.0,2023.0,1989.0,1865
2016-05-01,1945.0,2013.0,2023.0,1989.0,1865.0,1758
2016-06-01,2013.0,2023.0,1989.0,1865.0,1758.0,2025
2016-07-01,2023.0,1989.0,1865.0,1758.0,2025.0,1893
2016-08-01,1989.0,1865.0,1758.0,2025.0,1893.0,2065
2016-09-01,1865.0,1758.0,2025.0,1893.0,2065.0,1861
2016-10-01,1758.0,2025.0,1893.0,2065.0,1861.0,1990
2016-11-01,2025.0,1893.0,2065.0,1861.0,1990.0,1748
2016-12-01,1893.0,2065.0,1861.0,1990.0,1748.0,1566
2017-01-01,2065.0,1861.0,1990.0,1748.0,1566.0,1623
2017-02-01,1861.0,1990.0,1748.0,1566.0,1623.0,1426
2017-03-01,1990.0,1748.0,1566.0,1623.0,1426.0,1569
2017-04-01,1748.0,1566.0,1623.0,1426.0,1569.0,1513
2017-05-01,1566.0,1623.0,1426.0,1569.0,1513.0,1692
2017-06-01,1623.0,1426.0,1569.0,1513.0,1692.0,1411
2017-07-01,1426.0,1569.0,1513.0,1692.0,1411.0,1424
2017-08-01,1569.0,1513.0,1692.0,1411.0,1424.0,1386
2017-09-01,1513.0,1692.0,1411.0,1424.0,1386.0,1254
2017-10-01,1692.0,1411.0,1424.0,1386.0,1254.0,1202
2017-11-01,1411.0,1424.0,1386.0,1254.0,1202.0,1205
2017-12-01,1424.0,1386.0,1254.0,1202.0,1205.0,1029
